City,Temperature,Humidity,Clouds,Winds,Country,Date,Latitude,Longitude
George Town,76.62,96,20,2.3,MY,1666733522,5.4112,100.3354
Beringovskiy,20.97,78,97,10.94,RU,1666733831,63.05,179.3167
Hamilton,74.52,51,75,17.27,US,1666733502,39.1834,-84.5333
Grand Gaube,72.37,71,19,3.0,MU,1666733347,-20.0064,57.6608
Ngawi,75.96,86,97,5.55,ID,1666733833,-7.4038,111.4461
Soloneshnoye,30.76,42,9,4.79,RU,1666733833,51.6544,84.3197
Kapuskasing,64.4,59,100,11.5,CA,1666733784,49.4169,-82.4331
Ericeira,65.66,91,5,14.88,PT,1666733834,38.9627,-9.4156
Coahuayana Viejo,83.52,76,81,5.35,MX,1666733835,18.7333,-103.6833
Yangi Marg`ilon,56.12,76,40,9.22,UZ,1666733346,40.4272,71.7189
Opochka,49.87,98,99,5.95,RU,1666733835,56.7105,28.6617
Brae,51.71,88,100,8.99,GB,1666733836,60.3964,-1.353
Lagoa,63.05,67,19,23.38,PT,1666733687,39.05,-27.9833
Kumul,49.32,41,100,1.7,CN,1666733837,42.8,93.45
Qandala,77.81,75,64,1.41,SO,1666733837,11.472,49.8728
Dwārka,79.45,62,0,9.73,IN,1666733838,22.2394,68.9678
Vaasa,37.31,93,100,6.91,FI,1666733838,63.096,21.6158
Wakiso,63.03,78,81,3.09,UG,1666733839,0.4044,32.4594
Kendari,75.76,94,80,3.04,ID,1666733583,-3.945,122.4989
Maneromango,65.93,98,31,1.41,TZ,1666733840,-7.1988,38.7848
Mapimí,75.43,26,1,6.82,MX,1666733840,25.8167,-103.85
Moranbah,82.08,45,36,3.56,AU,1666733412,-22.0016,148.0466
Malatya Province,37.45,65,0,6.91,TR,1666733594,38.5,38.0
Geraldton,48.61,87,0,5.75,AU,1666733359,-28.7667,114.6
Taksimo,18.19,74,76,3.31,RU,1666733693,56.3444,114.8794
Saskylakh,-6.14,100,70,3.96,RU,1666733529,71.9167,114.0833
Hong Kong,72.95,72,99,11.01,HK,1666733569,22.2855,114.1577
Vardø,30.18,80,100,9.22,NO,1666733732,70.3705,31.1107
Boden,39.2,88,99,3.0,SE,1666733842,65.8252,21.6886
Katherine,82.72,74,100,12.66,AU,1666733649,-14.4667,132.2667
Vestmanna,47.32,100,100,8.05,FO,1666733601,62.1564,-7.1664
Ouadda,69.66,54,61,2.91,CF,1666733843,8.0777,22.4007
Nouakchott,76.93,69,100,9.66,MR,1666733844,18.0858,-15.9785
Castlerea,54.95,97,100,14.9,IE,1666733844,53.7667,-8.5
Westport,67.32,89,100,10.36,US,1666733845,41.1415,-73.3579
Djougou,77.67,74,92,6.87,BJ,1666733846,9.7085,1.666
Amberley,73.83,51,75,8.05,US,1666733846,39.2048,-84.428
Brønnøysund,48.2,76,100,10.36,NO,1666733847,65.4625,12.1997
Labuhan,77.79,81,87,11.92,ID,1666733848,-6.8844,112.2051
Ciudad General Terán,77.22,23,6,6.35,MX,1666733848,25.2667,-99.6833
Colares,66.2,96,15,10.0,PT,1666733849,38.7992,-9.4469
Camacha,69.22,83,20,6.91,PT,1666733760,33.0833,-16.3333
Salalah,77.09,61,0,3.44,OM,1666733629,17.0151,54.0924
Plérin,59.31,89,0,6.91,FR,1666733849,48.5425,-2.7798
Novovarshavka,34.23,53,100,6.8,RU,1666733850,54.1721,74.6946
Acarí,69.94,63,6,8.25,PE,1666733615,-15.4311,-74.6158
Gannan,40.59,58,100,15.46,CN,1666733851,47.9147,123.5031
Beloha,71.17,85,100,5.14,MG,1666733375,-25.1667,45.05
Fernandina Beach,73.81,73,0,9.22,US,1666733584,30.6697,-81.4626
Warrnambool,57.72,94,100,9.98,AU,1666733728,-38.3833,142.4833
Cilegon,77.43,89,100,16.82,ID,1666733852,-6.0174,106.0538
Keuruu,36.81,93,100,8.03,FI,1666733852,62.2667,24.7
Northam,58.84,92,100,22.86,GB,1666733607,51.0333,-4.2167
Sungai Penuh,64.24,99,100,1.95,ID,1666733853,-2.0833,101.3833
Zhigansk,1.51,96,89,5.82,RU,1666733727,66.7697,123.3711
Sittwe,74.93,90,66,4.65,MM,1666733466,20.15,92.9
Hearst,53.85,81,100,9.13,CA,1666733162,49.6835,-83.6665
Kyra,19.8,63,0,3.89,RU,1666733854,49.5776,111.9753
Pecos,72.7,13,0,6.91,US,1666733588,31.4229,-103.4932
Omsukchan,3.15,88,11,7.72,RU,1666733734,62.5333,155.8
Mitsamiouli,75.52,79,3,13.04,KM,1666733854,-11.3847,43.2844
Arrondissement de Saint-Denis,61.29,83,0,8.05,FR,1666733855,48.9167,2.3333
Kidal,83.93,20,93,10.09,ML,1666733381,18.4411,1.4078
Ust-Nera,15.1,96,100,9.15,RU,1666733856,64.5667,143.2
Puerto Escondido,86.83,58,40,12.66,MX,1666733856,15.85,-97.0667
Neuquén,80.49,21,0,8.05,AR,1666733701,-38.9516,-68.0591
Brandon,83.17,68,6,3.0,US,1666733711,27.9378,-82.2859
Arawa,83.97,74,91,1.05,PG,1666733857,-6.2132,155.5367
Merritt Island,78.58,56,0,9.22,US,1666733857,28.5392,-80.672
Lithakia,58.37,71,2,1.86,GR,1666733858,37.7167,20.8333
North Branch,48.34,62,25,1.01,US,1666733858,45.5113,-92.9802
Saint-Leu,67.44,74,29,4.05,RE,1666733721,-21.15,55.2833
Nuuk,32.61,100,75,3.44,GL,1666733396,64.1835,-51.7216
Hammond,57.97,96,100,4.61,US,1666733615,41.5834,-87.5
Hirado,60.53,58,2,17.65,JP,1666733859,33.3597,129.5531
Sistranda,48.16,90,100,10.76,NO,1666733477,63.7256,8.834
Meulaboh,76.17,90,100,4.83,ID,1666733556,4.1363,96.1285
Plettenberg Bay,59.49,77,94,3.83,ZA,1666733860,-34.0527,23.3716
Damnoen Saduak,75.94,84,100,5.37,TH,1666733860,13.5182,99.9547
Mayo,60.42,94,100,5.75,US,1666733861,38.8876,-76.5119
Padang,75.27,94,100,2.01,ID,1666733338,-0.9492,100.3543
Xichang,61.14,97,82,2.53,CN,1666733861,27.8964,102.2634
Margate,58.46,86,100,5.01,GB,1666733176,51.3813,1.3862
Pawāyan,64.83,62,0,2.59,IN,1666733862,28.0667,80.1
Imbituba,64.71,83,21,7.38,BR,1666733862,-28.24,-48.6703
Dzilam González,80.94,76,97,7.23,MX,1666733863,21.2833,-88.9333
Sangīn,67.48,22,1,4.68,AF,1666733863,32.0728,64.8359
Curaçá,83.41,53,94,13.73,BR,1666733863,-8.9903,-39.9094
Palu,74.39,94,86,2.84,ID,1666733479,-0.8917,119.8707
Deputatsky,12.02,88,100,8.59,RU,1666733662,69.3,139.9
Teyateyaneng,62.74,35,100,1.34,LS,1666733864,-29.1472,27.7489
Kamyshla,30.45,85,84,7.49,RU,1666733865,54.1169,52.1426
Atlantic City,64.83,93,100,1.99,US,1666733865,39.3643,-74.4229
Alofi,75.09,60,75,11.5,NU,1666733580,-19.0595,-169.9187
Aquin,80.71,72,41,1.61,HT,1666733866,18.2833,-73.4
Mauá,65.7,77,41,8.59,BR,1666733866,-23.6678,-46.4614
Makat,42.31,68,29,15.01,KZ,1666733866,47.6469,53.3463
Port Lincoln,58.23,82,87,11.03,AU,1666733616,-34.7333,135.8667
Erenhot,32.9,66,8,11.14,CN,1666733539,43.6475,111.9767
Arlit,79.74,14,0,13.49,NE,1666733420,18.7369,7.3853
Hambantota,77.34,100,100,2.3,LK,1666733629,6.1241,81.1185
Itaituba,80.76,83,20,0.0,BR,1666733869,-4.2761,-55.9836
Kutum,69.53,24,1,12.08,SD,1666733658,14.2,24.6667
Ancud,53.37,85,79,17.4,CL,1666733339,-41.8697,-73.8203
Aquiraz,80.69,77,71,10.92,BR,1666733648,-3.9014,-38.3911
Richards Bay,70.93,86,83,20.24,ZA,1666733870,-28.783,32.0377
Cabo San Lucas,83.21,54,20,10.36,MX,1666733591,22.8909,-109.9124
Hualmay,64.81,75,14,11.27,PE,1666733871,-11.0964,-77.6139
Haines Junction,24.75,58,6,5.75,CA,1666733871,60.7522,-137.5108
Tambura,67.46,94,99,1.97,SS,1666733697,5.6,27.4667
Berezovyy,34.21,61,100,1.48,RU,1666733872,51.6667,135.7
Ilo,62.62,76,1,6.31,PE,1666733872,-17.6394,-71.3375
Praia da Vitória,59.25,82,75,12.5,PT,1666733873,38.7333,-27.0667
Aykhal,13.1,96,48,12.95,RU,1666733873,66.0,111.5
Kruisfontein,62.89,71,100,9.08,ZA,1666733487,-34.0033,24.7314
Chaman,62.6,26,0,3.29,PK,1666733874,30.9236,66.4512
Nabire,77.5,86,100,2.8,ID,1666733577,-3.3667,135.4833
Grindavik,45.07,81,99,10.36,IS,1666733544,63.8424,-22.4338
Key West,83.23,51,75,9.22,US,1666733389,24.5557,-81.7826
Karasjok,29.8,98,100,3.42,NO,1666733449,69.4719,25.5112
Keetmanshoop,75.99,19,74,4.45,NA,1666733641,-26.5833,18.1333
Lander,50.52,27,40,6.91,US,1666733875,42.833,-108.7307
Dzhebariki-Khaya,17.92,96,100,8.14,RU,1666733875,62.2167,135.8
Robe,58.17,91,100,15.88,AU,1666733876,-37.1833,139.75
Roald,49.24,93,75,3.44,NO,1666733530,62.5833,6.1333
Santa Fe,84.74,43,94,8.99,AR,1666733876,-31.6333,-60.7
Fortuna,57.74,82,0,13.8,US,1666733695,40.5982,-124.1573
Envira,83.07,72,92,2.66,BR,1666733877,-7.3,-70.2167
Benguela,77.22,78,56,7.34,AO,1666733394,-12.5763,13.4055
Molina,65.93,52,20,10.36,CL,1666733877,-35.1167,-71.2833
Cruzeiro do Sul,67.3,72,0,5.08,BR,1666733878,-29.5128,-51.9853
Lorengau,82.04,70,100,3.29,PG,1666733152,-2.0226,147.2712
Burnie,58.95,80,100,8.68,AU,1666733694,-41.0667,145.9167
Saldanha,57.25,88,19,17.38,ZA,1666733615,-33.0117,17.9442
Räpina,47.82,98,100,5.37,EE,1666733879,58.0981,27.4636
Ban Nahin,71.02,88,99,3.22,LA,1666733879,18.2418,104.2122
Peleduy,29.52,94,100,9.89,RU,1666733880,59.6289,112.7406
Valdemārpils,52.48,92,100,7.56,LV,1666733880,57.3707,22.5919
Prince Rupert,46.29,90,100,17.27,CA,1666733880,54.3161,-130.3201
Garissa,76.89,76,95,15.7,KE,1666733458,-0.4536,39.6401
Namatanai,83.93,69,94,5.48,PG,1666733623,-3.6667,152.4333
Portland,54.72,80,100,11.01,US,1666733449,45.5234,-122.6762
Drochtersen,51.35,95,38,6.22,DE,1666733881,53.7102,9.3846
Linxia Chengguanzhen,52.21,75,100,0.98,CN,1666733882,35.6003,103.2064
Mgachi,38.43,73,27,9.82,RU,1666733882,51.05,142.2667
Toora-Khem,15.49,66,4,2.37,RU,1666733883,52.4675,96.11
Sedalia,43.97,77,100,9.22,US,1666733883,38.7045,-93.2283
La Unión,78.46,47,90,17.2,PE,1666733884,-5.4,-80.75
Marrakesh,80.67,28,75,4.61,MA,1666733434,31.6315,-8.0083
Sal Rei,77.16,80,13,10.54,CV,1666733885,16.1833,-22.9167
Evanston,56.71,95,100,5.75,US,1666733790,42.0411,-87.6901
Quatre Cocos,72.09,78,21,12.91,MU,1666733854,-20.2078,57.7625
Makakilo City,83.17,60,20,19.57,US,1666733600,21.3469,-158.0858
Port Hedland,66.25,72,0,5.75,AU,1666733489,-20.3167,118.5667
Barcelos,64.83,90,36,14.03,PT,1666733887,41.5388,-8.6151
Dubrovnik,62.24,94,12,3.44,HR,1666733888,42.6481,18.0922
Pierre,56.88,40,0,19.57,US,1666733889,44.3683,-100.351
Amudat,75.4,46,51,10.78,UG,1666733890,1.95,34.95
Tiarei,78.82,84,100,24.09,PF,1666733363,-17.5333,-149.3333
Tucumcari,65.95,20,0,6.15,US,1666733891,35.1717,-103.725
Chapais,60.58,88,96,11.54,CA,1666733547,49.7834,-74.8492
Vila Franca do Campo,62.2,69,100,10.42,PT,1666733652,37.7167,-25.4333
Egvekinot,8.08,84,40,4.85,RU,1666733665,66.3167,-179.1667
Guapó,88.18,34,42,1.01,BR,1666733893,-16.8306,-49.5319
Gerāsh,62.74,48,0,2.06,IR,1666733893,27.6652,54.1371
Isiro,66.31,99,96,1.95,CD,1666733894,2.7739,27.616
Te Anau,51.3,90,100,4.41,NZ,1666733655,-45.4167,167.7167
Port Augusta,60.58,82,71,7.31,AU,1666733873,-32.5,137.7667
Kawambwa,71.19,54,100,8.37,ZM,1666733895,-9.7915,29.0791
Aykino,27.03,96,29,4.12,RU,1666733896,62.2248,49.9922
Tarko-Sale,30.49,98,100,7.54,RU,1666733290,64.9225,77.785
La Ronge,35.85,51,75,3.44,CA,1666733726,55.1001,-105.2842
Merauke,79.81,80,97,8.72,ID,1666733443,-8.4667,140.3333
Vila Velha,71.94,96,100,6.91,BR,1666733692,-20.3297,-40.2925
Erzin,69.37,35,34,6.64,TR,1666733438,36.9559,36.2
Klaeng,78.48,83,100,4.92,TH,1666733897,12.7797,101.6483
Mango,83.12,65,7,1.01,US,1666733898,27.9797,-82.3065
Ahipara,64.9,57,42,8.99,NZ,1666733572,-35.1667,173.1667
Talnakh,7.66,97,96,2.44,RU,1666733843,69.4865,88.3972
Carutapera,79.59,76,80,9.15,BR,1666733899,-1.195,-46.02
Shenjiamen,65.28,73,100,7.31,CN,1666733900,29.9576,122.298
Sémbé,70.7,98,100,1.95,CG,1666733594,1.6481,14.5806
Tshikapa,70.18,95,100,1.88,CD,1666733472,-6.4167,20.8
Imeni Poliny Osipenko,32.22,85,99,6.35,RU,1666733693,52.4201,136.4853
Lubao,76.71,89,87,5.39,PH,1666733901,14.9167,120.55
Altay,37.35,37,100,3.6,CN,1666733577,47.8667,88.1167
Novy Urengoy,21.54,92,100,15.9,RU,1666733605,66.0833,76.6333
Kota Bharu,76.95,94,40,0.0,MY,1666733385,6.1333,102.2386
Nagato,55.53,64,0,9.93,JP,1666733902,34.3833,131.2
Reconquista,83.79,34,0,10.36,AR,1666733903,-29.15,-59.65
Centralia,49.5,95,75,11.5,US,1666733904,46.7162,-122.9543
Yulara,69.3,37,0,10.02,AU,1666733540,-25.2406,130.9889
Marly,59.63,95,100,11.97,FR,1666733904,50.3456,3.5496
Resistencia,90.79,34,0,14.97,AR,1666733905,-27.4606,-58.9839
Tateyama,57.13,54,75,17.27,JP,1666733651,34.9833,139.8667
Portsmouth,61.63,90,100,11.99,GB,1666733733,50.799,-1.0913
Tavricheskoye,29.91,76,100,6.2,RU,1666733906,54.5851,73.6395
Beyneu,51.24,75,99,16.35,KZ,1666733906,45.3167,55.2
Riyadh,73.54,17,0,7.74,SA,1666733235,24.6877,46.7219
Cockburn Town,80.19,71,100,3.13,TC,1666733626,21.4612,-71.1419
Esperance,56.98,76,22,8.39,AU,1666733592,-33.8667,121.9
Derzhavīnsk,37.83,61,100,6.8,KZ,1666733904,51.1,66.3167
Sarkand,43.32,42,57,6.53,KZ,1666733907,45.41,79.9186
Chenzhou,64.02,55,63,3.36,CN,1666733908,25.8,113.0333
Rockport,76.08,74,0,12.66,US,1666733757,28.0206,-97.0544
Irtyshskiy,28.58,88,86,3.8,RU,1666733908,58.3333,68.1333
Gravdal,31.89,93,20,0.0,NO,1666733909,68.1214,13.5031
Kalemie,73.6,66,93,5.73,CD,1666733909,-5.9475,29.1947
Bikaner,74.7,27,0,9.44,IN,1666733785,28.0167,73.3
Huarmey,65.59,74,53,10.51,PE,1666733877,-10.0681,-78.1522
San Rafael,68.49,51,83,19.51,AR,1666733742,-34.6177,-68.3301
Tessalit,79.29,18,86,11.34,ML,1666733731,20.1986,1.0114
Amarpur,68.16,65,0,3.42,IN,1666733910,25.0333,86.9
Narsaq,26.82,73,1,6.8,GL,1666733575,60.9167,-46.05
Camocim,79.3,76,97,17.07,BR,1666733911,-2.9022,-40.8411
Kamaishi,51.37,66,92,15.35,JP,1666733912,39.2667,141.8833
Bartica,84.52,95,100,3.38,GY,1666733913,6.4,-58.6167
Asunción,90.84,35,0,8.05,PY,1666733845,-25.3007,-57.6359
Sibolga,75.49,88,100,2.84,ID,1666733562,1.7427,98.7792
Vestmannaeyjar,44.91,86,100,20.49,IS,1666733683,63.4427,-20.2734
Solnechnyy,32.49,67,46,4.23,RU,1666733913,50.7214,136.6319
Eslöv,52.81,93,37,9.48,SE,1666733364,55.8393,13.3039
Newport,59.86,85,100,18.68,GB,1666733683,51.5877,-2.9984
Nantucket,65.77,92,75,10.36,US,1666733298,41.2835,-70.0995
Russell,76.17,65,75,10.36,US,1666733855,32.3502,-85.1999
Mossamedes,68.79,85,35,6.85,AO,1666733459,-15.1961,12.1522
Tautira,77.97,84,100,25.86,PF,1666733658,-17.7333,-149.15
Esim,77.95,86,68,4.85,GH,1666733915,4.8699,-2.2405
Vao,73.02,76,100,19.35,NC,1666733584,-22.6667,167.4833
Yafran,65.93,35,3,4.25,LY,1666733916,32.0633,12.5286
Bosaso,78.17,68,77,5.01,SO,1666733916,11.2842,49.1816
Kirkwall,51.85,93,100,10.36,GB,1666733907,58.9848,-2.9587
Hojāi,69.13,98,88,1.45,IN,1666733917,26.0,92.8667
Magistral'nyy,27.39,71,98,5.12,RU,1666733917,56.1725,107.4458
Ixtapa,83.43,79,75,8.05,MX,1666733888,20.7,-105.2
Yurino,30.33,90,14,3.53,RU,1666733918,56.2942,46.3039
Seminole,83.01,50,0,5.75,US,1666733380,28.7086,-81.2081
Zyryanka,11.82,96,100,11.25,RU,1666733493,65.75,150.85
Belmonte,75.04,83,100,6.08,BR,1666733675,-15.8631,-38.8828
Glace Bay,57.58,94,100,5.75,CA,1666733919,46.1969,-59.957
Isernia,56.53,69,30,1.86,IT,1666733919,41.6002,14.2382
Shizuishan,49.46,37,15,8.32,CN,1666733920,39.2333,106.7694
Santiago de Cao,62.73,77,100,12.66,PE,1666733920,-7.9589,-79.2392
Moate,56.82,95,100,16.06,IE,1666733920,53.55,-7.7167
Leh,29.44,49,0,0.65,IN,1666733846,34.1667,77.5833
Yerbogachën,27.68,93,100,9.73,RU,1666733368,61.2767,108.0108
Longyearbyen,17.44,67,20,5.75,SJ,1666733573,78.2186,15.6401
Constitución,56.86,88,78,6.02,CL,1666733457,-35.3333,-72.4167
Sokoni,76.86,80,48,11.95,TZ,1666733922,-6.4333,39.55
Kupang,79.23,81,100,3.96,ID,1666733922,-10.1667,123.5833
Skovorodino,21.88,70,0,3.18,RU,1666733922,53.9833,123.9167
Kautokeino,29.41,98,100,3.74,NO,1666733923,69.0125,23.0412
Ambilobe,70.43,76,8,5.75,MG,1666733620,-13.2,49.05
Puerto Carreño,89.58,62,40,5.75,CO,1666733924,6.189,-67.4859
Weligama,76.06,88,100,3.0,LK,1666733925,5.9667,80.4167
Cabra,67.23,50,98,1.61,ES,1666733925,37.4725,-4.4421
Benton Harbor,57.78,94,100,3.44,US,1666733926,42.1167,-86.4542
San Vicente,67.68,77,0,2.37,AR,1666733451,-26.6167,-54.1333
Puerto Ayacucho,82.62,74,71,2.04,VE,1666733844,5.6639,-67.6236
Kaoma,71.85,49,36,3.89,ZM,1666733927,-14.7833,24.8
Luquillo,83.8,74,0,5.75,PR,1666733927,18.3725,-65.7166
Ola,25.68,87,78,8.48,RU,1666733927,59.5833,151.2833
Barra do Garças,90.18,58,20,6.91,BR,1666733928,-15.89,-52.2567
Kieta,83.28,74,86,1.12,PG,1666733928,-6.2167,155.6333
Pilar,76.93,78,56,10.42,BR,1666733343,-9.5972,-35.9567
Kirovsk,49.5,90,100,7.47,UA,1666733929,48.6375,38.6428
Nizhniy Odes,23.92,97,96,4.05,RU,1666733929,63.6445,54.856
College,22.06,83,20,12.66,US,1666733554,64.8569,-147.8028
Tānsen,54.18,91,0,3.67,NP,1666733930,27.8673,83.5467
Ziniaré,86.04,26,14,6.53,BF,1666733930,12.5822,-1.2983
Marmari,70.03,49,0,2.48,GR,1666733930,38.0484,24.3204
Havre-St-Pierre,52.16,87,100,2.3,CA,1666733931,50.2334,-63.5986
Puerto Baquerizo Moreno,70.79,78,75,9.22,EC,1666733931,-0.9,-89.6
Scarborough,53.47,89,98,4.0,GB,1666733771,54.2797,-0.4044
Nuristan,30.65,37,1,5.01,AF,1666733932,35.3,70.8333
Shingū,50.74,70,0,5.44,JP,1666733644,33.7333,135.9833
Kodinsk,27.86,76,51,5.41,RU,1666733933,58.6881,99.1844
Luoyang,56.98,83,100,1.97,CN,1666733933,34.6836,112.4536
Sur,79.92,48,0,7.49,OM,1666733551,22.5667,59.5289
Zabaykal'sk,25.79,53,33,12.1,RU,1666733934,49.6333,117.3167
Mehamn,33.75,75,0,10.36,NO,1666733675,71.0357,27.8492
Orocué,82.54,67,20,0.85,CO,1666733934,4.7912,-71.3354
Falkenberg,53.33,96,28,14.05,SE,1666733935,56.9055,12.4912
Curitibanos,60.33,77,0,5.08,BR,1666733936,-27.2828,-50.5844
Mersing,75.11,94,40,3.44,MY,1666733936,2.4312,103.8405
